Ticker,Prix,High52W,Low52W,Median52W,ZoneHigh,ZoneLow,PctRange,DistMedian_%,MM30_Daily,Dist_MM30_%,MM30DailySlope_%,Vol14j_%,ATR14j_$,MM30W_3W_Haussier,Phase2_Daily,Breakout,In_Zone,Strat1_Zone,Strat2_Pullback,Strat3_Precoce,Setup,Prix_Alert_Pullback_m3,Prix_Alert_Pullback_p3,PRU_$,Qte_Total,Qte_par_Tier,T1_Prix_$,T1_Gain_$,T2_Prix_$,T2_Gain_$,Signal_Secu_$,SL_Secu_$,T3_Trailing_$,SL_Initial_$,Perte_Max_$,Gain_Secu_$,RR_Ratio
CVNA,71.51,97.38,54.46,75.92,85.41,66.43,39.7,-5.8,68.05,5.1,2.21,16.29,3.71,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,66.01,70.09,,,,,,,,,,,,,,
CVSA,132.59,156.26,86.97,121.61,136.82,106.41,65.8,9.0,125.85,5.4,0.25,18.07,6.34,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,122.08,129.63,132.59,5.6565,1.8855,198.88,125.0,271.81,262.5,159.11,143.2,124.63,124.63,45.0,387.5,8.61
CVX,203.5,210.92,142.51,176.72,198.8,154.63,89.2,15.2,192.44,5.7,5.57,5.92,3.94,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,186.67,198.22,,,,,,,,,,,,,,
CWEN,32.29,41.74,26.69,34.22,38.49,29.94,37.2,-5.6,32.98,-2.1,-0.01,8.98,1.04,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,31.99,33.97,,,,,,,,,,,,,,
CWT,50.78,53.46,40.39,46.93,52.79,41.06,79.5,8.2,50.2,1.2,0.63,4.55,0.95,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,48.7,51.71,50.78,14.7696,4.9232,76.17,125.0,104.1,262.5,60.94,54.84,47.73,47.73,45.0,387.5,8.61
CXM,7.41,8.85,4.72,6.78,7.63,5.93,65.4,9.4,6.45,14.9,9.14,8.83,0.24,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,6.26,6.65,7.41,101.2146,33.7382,11.12,125.0,15.19,262.5,8.89,8.0,6.97,6.97,45.0,387.5,8.61
CYTK,77.42,88.31,35.22,61.76,69.49,54.04,79.5,25.3,78.55,-1.4,-3.78,8.49,2.52,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,76.19,80.91,,,,,,,,,,,,,,
CZR,29.68,30.88,17.86,24.37,27.42,21.32,90.8,21.8,29.85,-0.5,-0.4,1.42,0.18,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,28.95,30.74,,,,,,,,,,,,,,
D,66.75,72.99,54.71,63.85,71.83,55.87,65.9,4.5,69.22,-3.6,-0.69,3.69,1.13,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,67.15,71.3,,,,,,,,,,,,,,
DAC,150.51,152.52,81.73,117.12,131.76,102.48,97.2,28.5,139.0,8.3,5.06,6.95,3.98,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,134.83,143.17,,,,,,,,,,,,,,
DAL,82.41,95.44,54.6,75.02,84.4,65.64,68.1,9.9,87.13,-5.4,-1.42,6.0,2.21,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,84.52,89.74,,,,,,,,,,,,,,
DAR,62.58,69.98,29.15,49.57,55.76,43.37,81.9,26.3,62.74,-0.3,4.24,11.99,2.89,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,60.86,64.62,,,,,,,,,,,,,,
DASH,228.82,285.5,143.3,214.4,241.2,187.6,60.1,6.7,201.48,13.6,4.93,6.14,8.3,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,195.43,207.52,228.82,3.2777,1.0926,343.23,125.0,469.08,262.5,274.58,247.13,215.09,215.09,45.0,387.5,8.61
DAVA,3.15,14.99,2.55,8.77,9.87,7.67,4.9,-64.0,2.95,7.1,2.36,10.18,0.14,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,2.86,3.04,,,,,,,,,,,,,,
DAVE,356.32,458.25,152.21,305.23,343.38,267.08,66.7,16.7,380.09,-6.3,-4.12,22.9,24.38,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,368.68,391.49,,,,,,,,,,,,,,
DBX,34.85,36.3,21.69,29.0,32.62,25.37,90.0,20.2,32.58,7.0,6.12,9.71,1.19,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,31.6,33.56,,,,,,,,,,,,,,
DCI,92.08,112.05,72.93,92.49,104.05,80.93,49.0,-0.4,93.49,-1.5,1.98,3.22,1.89,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,90.69,96.3,,,,,,,,,,,,,,
DD,136.38,156.73,91.29,124.01,139.51,108.51,68.9,10.0,139.87,-2.5,1.07,6.42,3.57,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,135.68,144.07,,,,,,,,,,,,,,
DDOG,228.54,292.72,98.01,195.37,219.79,170.94,67.0,17.0,253.42,-9.8,-2.25,24.95,16.8,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,245.82,261.02,,,,,,,,,,,,,,
DDS,639.72,710.28,487.77,599.03,673.9,524.15,68.3,6.8,591.73,8.1,4.91,13.84,30.22,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,573.98,609.49,,,,,,,,,,,,,,
DE,647.83,670.49,429.14,549.81,618.54,481.08,90.6,17.8,609.34,6.3,0.19,9.36,19.14,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,591.06,627.62,,,,,,,,,,,,,,
DEC,14.84,18.53,11.6,15.06,16.95,13.18,46.8,-1.5,13.7,8.3,1.92,6.9,0.46,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,13.29,14.12,14.84,50.5391,16.8464,22.26,125.0,30.42,262.5,17.81,16.03,13.95,13.95,45.0,387.5,8.61
DECK,91.39,125.45,78.91,102.18,114.95,89.41,26.8,-10.6,97.95,-6.7,-4.02,7.99,2.77,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,95.01,100.89,,,,,,,,,,,,,,
DEI,12.0,15.9,8.79,12.35,13.89,10.8,45.1,-2.8,11.97,0.3,-0.89,5.76,0.34,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,11.61,12.33,,,,,,,,,,,,,,
DELL,433.87,514.0,109.7,311.85,350.83,272.87,80.2,39.1,435.8,-0.4,2.96,15.35,28.28,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,422.72,448.87,,,,,,,,,,,,,,
DEO,96.31,112.3,71.73,92.02,103.52,80.51,60.6,4.7,89.4,7.7,4.88,8.41,2.32,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,86.71,92.08,96.31,7.7874,2.5958,144.46,125.0,197.44,262.5,115.57,104.01,90.53,90.53,45.0,387.5,8.61
DFTX,44.02,49.7,8.7,29.2,32.85,25.55,86.1,50.8,44.01,0.0,-0.95,15.23,3.1,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,42.69,45.33,,,,,,,,,,,,,,
DG,124.62,156.68,93.78,125.23,140.89,109.58,49.0,-0.5,123.42,1.0,1.35,6.35,3.37,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,119.72,127.12,,,,,,,,,,,,,,
DGX,243.77,245.93,168.97,207.45,233.38,181.52,97.2,17.5,229.43,6.3,4.25,3.19,4.59,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,222.55,236.31,,,,,,,,,,,,,,
DHI,149.02,182.36,130.96,156.66,176.24,137.08,35.1,-4.9,147.68,0.9,-1.41,9.84,4.43,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,143.25,152.11,,,,,,,,,,,,,,
DHR,215.83,241.78,160.6,201.19,226.34,176.04,68.0,7.3,200.83,7.5,2.3,7.9,6.44,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,194.81,206.86,,,,,,,,,,,,,,
DIA,533.84,546.3,443.37,494.83,556.69,432.98,87.9,7.9,528.81,1.0,0.61,2.1,4.03,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,512.94,544.67,533.84,1.4049,0.4683,800.76,125.0,1094.37,262.5,640.61,576.55,501.81,501.81,45.0,387.5,8.61
DIG,68.12,71.6,32.27,51.93,58.43,45.44,91.2,31.2,61.53,10.7,9.35,12.27,2.26,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,59.68,63.38,,,,,,,,,,,,,,
DINO,95.24,98.39,44.6,71.5,80.43,62.56,94.1,33.2,89.17,6.8,7.4,11.6,3.75,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,86.49,91.84,,,,,,,,,,,,,,
DIOD,89.82,125.99,42.28,84.13,94.65,73.62,56.8,6.8,92.6,-3.0,0.22,25.34,7.36,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,89.82,95.38,,,,,,,,,,,,,,
DIS,110.25,118.07,91.49,104.78,117.88,91.68,70.6,5.2,100.73,9.4,3.05,6.92,2.48,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,97.71,103.75,,,,,,,,,,,,,,
DKNG,25.97,48.78,20.46,34.62,38.95,30.29,19.5,-25.0,24.37,6.6,-1.08,16.13,1.36,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,23.64,25.1,,,,,,,,,,,,,,
DKS,179.12,244.38,175.65,210.01,236.27,183.76,5.1,-14.7,202.42,-11.5,-4.87,10.74,7.24,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,196.35,208.49,,,,,,,,,,,,,,
DLB,66.39,73.95,47.98,60.96,68.58,53.34,70.9,8.9,56.72,17.0,7.89,4.8,1.37,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,55.02,58.42,66.39,11.2969,3.7656,99.58,125.0,136.1,262.5,79.67,71.7,62.41,62.41,45.0,387.5,8.61
DLO,15.19,16.5,10.46,13.48,15.17,11.8,78.3,12.7,14.63,3.9,-0.19,10.92,0.6,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,14.19,15.07,,,,,,,,,,,,,,
DLR,188.45,207.47,144.28,175.87,197.86,153.89,69.9,7.2,189.0,-0.3,2.94,5.4,4.55,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,183.33,194.67,,,,,,,,,,,,,,
DLTR,135.24,142.4,84.71,113.55,127.75,99.36,87.6,19.1,127.89,5.7,1.96,5.47,3.39,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,124.06,131.73,,,,,,,,,,,,,,
DMC,32.43,42.46,26.21,34.33,38.63,30.04,38.3,-5.5,29.61,9.5,3.47,5.64,0.77,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,28.72,30.5,,,,,,,,,,,,,,
DNLI,24.12,27.3,12.58,19.94,22.43,17.45,78.4,21.0,24.04,0.3,-1.91,8.51,0.93,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,23.32,24.76,,,,,,,,,,,,,,
DNUT,3.62,5.11,2.88,4.0,4.49,3.5,33.2,-9.4,3.27,10.8,-1.12,13.96,0.19,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,3.17,3.36,,,,,,,,,,,,,,
DOCN,111.89,187.5,30.05,108.77,122.37,95.18,52.0,2.9,123.47,-9.4,-3.88,18.54,9.7,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,119.77,127.18,,,,,,,,,,,,,,
DOCU,62.65,86.65,40.16,63.41,71.33,55.48,48.4,-1.2,56.35,11.2,9.17,13.86,2.54,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,54.66,58.05,62.65,11.9713,3.9904,93.98,125.0,128.43,262.5,75.18,67.66,58.89,58.89,45.0,387.5,8.61
DOO,63.68,81.47,48.69,65.08,73.21,56.94,45.7,-2.1,63.11,0.9,3.51,11.85,2.34,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,61.21,65.0,,,,,,,,,,,,,,
DORM,130.34,166.89,98.45,132.67,149.25,116.09,46.6,-1.8,136.18,-4.3,-0.98,8.6,4.11,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,132.1,140.27,,,,,,,,,,,,,,
DOV,203.86,236.42,157.78,197.1,221.73,172.46,58.6,3.4,207.17,-1.6,-1.78,2.81,3.51,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,200.96,213.39,,,,,,,,,,,,,,
DOW,31.44,42.31,19.91,31.11,35.0,27.22,51.5,1.1,30.49,3.1,3.55,9.26,1.04,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,29.58,31.41,31.44,23.855,7.9517,47.16,125.0,64.45,262.5,37.73,33.96,29.55,29.55,45.0,387.5,8.61
DOX,62.21,85.59,49.25,67.42,75.85,58.99,35.7,-7.7,55.97,11.2,4.72,9.43,1.73,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,54.29,57.64,,,,,,,,,,,,,,
DPZ,345.86,460.13,282.0,371.06,417.45,324.68,35.9,-6.8,341.73,1.2,4.07,6.16,10.25,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,331.48,351.98,,,,,,,,,,,,,,
DRI,224.87,229.76,165.13,197.45,222.13,172.76,92.4,13.9,209.54,7.3,3.45,6.83,5.72,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,203.26,215.83,,,,,,,,,,,,,,
DRS,39.23,50.49,32.24,41.36,46.53,36.19,38.3,-5.2,44.84,-12.5,-0.29,7.02,1.47,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,43.5,46.19,,,,,,,,,,,,,,
DRVN,13.02,19.74,9.8,14.77,16.62,12.92,32.3,-11.9,13.88,-6.2,-4.35,14.41,0.56,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,13.46,14.29,,,,,,,,,,,,,,
DSGX,79.05,109.0,62.56,85.78,96.5,75.06,35.5,-7.8,75.21,5.1,2.65,6.04,2.47,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,72.96,77.47,,,,,,,,,,,,,,
DSY,4.06,146.6,1.67,74.14,83.4,64.87,1.6,-94.5,3.7,9.7,3.54,38.09,0.49,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,3.59,3.81,,,,,,,,,,,,,,
DT,49.53,53.28,31.64,42.46,47.77,37.15,82.7,16.7,46.46,6.6,3.52,14.29,2.32,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,45.06,47.85,49.53,15.1423,5.0474,74.3,125.0,101.54,262.5,59.44,53.49,46.56,46.56,45.0,387.5,8.61
DTE,135.97,155.75,124.26,140.0,157.5,122.5,37.2,-2.9,142.56,-4.6,-2.98,3.95,2.35,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,138.29,146.84,,,,,,,,,,,,,,
DTM,125.22,152.0,97.79,124.9,140.51,109.29,50.6,0.3,137.51,-8.9,-3.06,5.4,3.56,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,133.38,141.63,,,,,,,,,,,,,,
DUK,122.12,132.18,110.99,121.59,136.78,106.39,52.5,0.4,124.26,-1.7,-0.8,5.01,2.18,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,120.53,127.98,,,,,,,,,,,,,,
DUOL,145.89,355.0,87.89,221.44,249.13,193.76,21.7,-34.1,134.23,8.7,3.8,19.37,8.99,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,130.2,138.26,,,,,,,,,,,,,,
DV,13.31,16.44,7.64,12.04,13.55,10.54,64.4,10.5,12.14,9.7,5.47,13.14,0.21,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,11.77,12.5,13.31,56.3486,18.7829,19.96,125.0,27.29,262.5,15.97,14.37,12.51,12.51,45.0,387.5,8.61
DVA,173.48,247.49,101.0,174.25,196.03,152.46,49.5,-0.4,209.19,-17.1,-7.79,17.72,7.74,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,202.92,215.47,,,,,,,,,,,,,,
DVN,48.06,52.34,30.89,41.61,46.81,36.41,80.1,15.5,44.95,6.9,4.05,9.77,1.35,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,43.6,46.3,48.06,15.6055,5.2018,72.09,125.0,98.52,262.5,57.67,51.9,45.18,45.18,45.0,387.5,8.61
DXCM,91.5,92.59,54.11,73.35,82.52,64.18,97.2,24.7,82.1,11.4,7.98,7.89,2.55,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,79.63,84.56,,,,,,,,,,,,,,
DY,383.18,566.47,242.55,404.51,455.07,353.95,43.4,-5.3,411.24,-6.8,-3.03,8.45,16.09,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,398.9,423.57,,,,,,,,,,,,,,
E,55.16,57.75,33.26,45.51,51.19,39.82,89.4,21.2,53.28,3.5,5.56,6.03,1.07,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,51.68,54.88,,,,,,,,,,,,,,
EAT,254.05,254.63,100.3,177.47,199.65,155.28,99.6,43.2,214.85,18.2,10.64,14.21,11.23,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,208.4,221.29,,,,,,,,,,,,,,
EBAY,106.71,118.98,77.56,98.27,110.55,85.98,70.4,8.6,109.12,-2.2,-3.1,7.88,3.6,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,105.85,112.4,,,,,,,,,,,,,,
EBC,22.71,23.77,15.5,19.64,22.09,17.18,87.1,15.7,23.05,-1.5,1.34,3.55,0.43,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,22.36,23.74,,,,,,,,,,,,,,
EBS,5.11,14.06,4.36,9.21,10.36,8.06,7.8,-44.5,6.3,-18.9,-15.65,33.15,0.45,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,6.12,6.49,,,,,,,,,,,,,,
EC,17.3,18.19,8.16,13.18,14.82,11.53,91.1,31.3,16.74,3.4,5.24,8.49,0.57,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,16.23,17.24,,,,,,,,,,,,,,
ECHO,85.5,147.25,27.4,87.32,98.24,76.41,48.5,-2.1,89.45,-4.4,-3.24,8.89,3.52,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,86.77,92.13,,,,,,,,,,,,,,
ECL,286.27,307.61,242.49,275.05,309.43,240.67,67.2,4.1,277.42,3.2,0.33,4.4,5.35,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,269.09,285.74,286.27,2.6199,0.8733,429.4,125.0,586.85,262.5,343.52,309.17,269.09,269.09,45.0,387.5,8.61
ED,107.75,114.33,92.2,103.26,116.17,90.36,70.3,4.3,108.86,-1.0,-1.01,3.37,1.87,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,105.59,112.12,,,,,,,,,,,,,,
EDEN,118.82,123.5,96.63,110.07,123.83,96.31,82.6,7.9,114.53,3.7,0.94,2.84,1.02,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,111.1,117.97,,,,,,,,,,,,,,
EDU,56.49,64.22,44.25,54.23,61.01,47.45,61.3,4.2,53.57,5.4,4.38,9.89,1.67,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,51.97,55.18,,,,,,,,,,,,,,
EE,39.25,42.88,22.64,32.76,36.85,28.66,82.1,19.8,37.9,3.6,-0.98,10.96,1.52,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,36.76,39.04,,,,,,,,,,,,,,
EEFT,70.07,98.52,62.5,80.51,90.57,70.45,21.0,-13.0,75.16,-6.8,-2.37,7.65,2.42,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,72.91,77.42,,,,,,,,,,,,,,
EFX,193.82,269.54,150.75,210.15,236.42,183.88,36.3,-7.8,179.49,8.0,3.61,8.74,6.2,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,174.1,184.87,,,,,,,,,,,,,,
EG,376.1,401.07,298.78,349.92,393.66,306.18,75.6,7.5,373.98,0.6,-0.09,4.1,7.07,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,362.76,385.2,,,,,,,,,,,,,,
EGP,202.02,226.71,157.68,192.2,216.22,168.17,64.2,5.1,208.33,-3.0,-1.07,2.61,3.66,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,202.08,214.58,,,,,,,,,,,,,,
EHC,121.72,127.5,92.41,109.96,123.7,96.21,83.5,10.7,116.81,4.2,4.7,12.94,3.46,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,113.31,120.32,121.72,6.1617,2.0539,182.58,125.0,249.53,262.5,146.06,131.46,114.42,114.42,45.0,387.5,8.61
EIX,73.77,81.62,50.04,65.83,74.06,57.6,75.1,12.1,74.24,-0.6,-1.15,8.83,2.43,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,72.02,76.47,,,,,,,,,,,,,,
EL,103.8,120.79,65.96,93.38,105.05,81.71,69.0,11.2,86.5,20.0,3.84,18.13,3.62,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,83.9,89.09,,,,,,,,,,,,,,
ELAN,24.24,27.98,17.11,22.55,25.36,19.73,65.5,7.5,24.65,-1.7,-1.72,15.08,1.23,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,23.91,25.38,,,,,,,,,,,,,,
ELE,22.56,26.86,12.53,19.7,22.16,17.24,70.0,14.5,17.85,26.4,9.66,12.42,0.95,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,17.32,18.39,22.56,33.2447,11.0816,33.84,125.0,46.25,262.5,27.07,24.36,21.21,21.21,45.0,387.5,8.61
ELF,105.14,150.99,48.82,99.91,112.39,87.42,55.1,5.2,86.88,21.0,8.89,13.84,4.79,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,84.27,89.48,105.14,7.1333,2.3778,157.71,125.0,215.54,262.5,126.17,113.55,98.83,98.83,45.0,387.5,8.61
ELS,65.63,67.81,56.88,62.35,70.14,54.55,80.0,5.3,65.23,0.6,0.2,3.5,1.04,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,63.27,67.19,65.63,11.4277,3.8092,98.44,125.0,134.54,262.5,78.76,70.88,61.69,61.69,45.0,387.5,8.61
ELV,403.3,436.24,272.05,354.14,398.41,309.88,79.9,13.9,389.59,3.5,-1.17,5.84,9.9,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,377.9,401.27,,,,,,,,,,,,,,
EMBJ,76.15,80.46,53.37,66.92,75.28,58.55,84.1,13.8,70.48,8.0,5.44,7.78,2.57,NON,OUI,OUI,NON,NON,NON,NON,🔴 Rejet,68.37,72.59,,,,,,,,,,,,,,
EME,767.24,951.47,564.01,757.74,852.46,663.02,52.5,1.3,785.62,-2.3,1.15,7.36,25.51,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,762.05,809.18,,,,,,,,,,,,,,
EMN,72.95,81.56,54.12,67.84,76.32,59.36,68.6,7.5,71.21,2.4,2.93,5.9,1.7,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,69.08,73.35,72.95,10.281,3.427,109.43,125.0,149.55,262.5,87.54,78.79,68.57,68.57,45.0,387.5,8.61
EMR,157.24,165.79,121.73,143.76,161.73,125.79,80.6,9.4,151.51,3.8,4.91,6.9,4.08,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,146.96,156.05,157.24,4.7698,1.5899,235.86,125.0,322.34,262.5,188.69,169.82,147.81,147.81,45.0,387.5,8.61
ENB,50.26,57.66,43.28,50.47,56.78,44.16,48.5,-0.4,52.92,-5.0,-1.88,4.52,1.01,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,51.33,54.51,,,,,,,,,,,,,,
ENLT,77.93,108.65,26.27,67.46,75.89,59.03,62.7,15.5,85.57,-8.9,-0.93,11.92,3.19,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,83.0,88.14,,,,,,,,,,,,,,
ENOV,25.33,34.28,19.14,26.71,30.05,23.37,40.9,-5.2,27.02,-6.2,2.26,18.17,1.66,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,26.21,27.83,,,,,,,,,,,,,,
ENPH,37.21,73.74,25.78,49.76,55.98,43.54,23.8,-25.2,39.57,-6.0,-4.56,13.64,1.93,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,38.39,40.76,,,,,,,,,,,,,,
ENR,21.62,28.46,15.49,21.98,24.73,19.23,47.2,-1.6,21.19,2.0,1.93,10.35,0.95,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,20.55,21.82,21.62,34.6901,11.5634,32.43,125.0,44.32,262.5,25.94,23.35,20.32,20.32,45.0,387.5,8.61
ENS,186.85,244.02,97.75,170.89,192.25,149.53,60.9,9.3,192.57,-3.0,-2.86,9.19,8.84,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,186.79,198.35,,,,,,,,,,,,,,
ENSG,180.06,217.84,141.52,179.68,202.14,157.22,50.5,0.2,177.42,1.5,2.83,3.69,3.89,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,172.1,182.75,180.06,4.1653,1.3884,270.09,125.0,369.12,262.5,216.07,194.46,169.26,169.26,45.0,387.5,8.61
ENTG,138.96,186.78,67.81,127.3,143.21,111.38,59.8,9.2,139.7,-0.5,0.33,16.01,8.46,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,135.51,143.89,,,,,,,,,,,,,,
ENVX,3.26,14.21,3.06,8.63,9.71,7.56,1.7,-62.3,4.23,-23.1,-11.34,28.07,0.36,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,4.11,4.36,,,,,,,,,,,,,,
EOG,149.93,153.67,99.12,126.39,142.19,110.6,93.1,18.6,143.26,4.7,3.62,10.09,3.82,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,138.97,147.56,,,,,,,,,,,,,,
EOSE,3.41,19.86,3.11,11.49,12.92,10.05,1.8,-70.3,3.87,-11.7,-9.16,23.55,0.36,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,3.75,3.99,,,,,,,,,,,,,,
EPAM,111.35,222.53,73.06,147.79,166.27,129.32,25.6,-24.7,98.42,13.1,6.65,19.06,5.87,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,95.47,101.38,,,,,,,,,,,,,,
EPD,38.51,39.58,28.18,33.88,38.12,29.65,90.6,13.7,38.0,1.3,1.51,3.93,0.57,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,36.86,39.14,38.51,19.4755,6.4918,57.76,125.0,78.95,262.5,46.21,41.59,36.2,36.2,45.0,387.5,8.61
EQNR,42.43,43.17,21.54,32.35,36.4,28.31,96.6,31.1,39.53,7.3,8.12,7.94,0.99,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,38.34,40.71,,,,,,,,,,,,,,
